ID,Latitude,Longitude
B001,48.043071747,-123.131408691
B003,48.062358856,-124.140861511
B004,48.201931,-124.427009583
B005,48.059547424,-123.50328064
B010,48.650169373,-123.451332092
B011,48.649539948,-123.448188782
B012,48.924629211,-125.541976929
B022,45.954608917,-123.931053162
B028,44.493667603,-122.96383667
B058,36.799499512,-121.580802917
B066,36.857532501,-121.592170715
B067,36.76499939,-121.565498352
B073,35.94670105,-120.471702576
B076,35.939800262,-120.424797058
B078,35.83769989,-120.345199585
B079,35.715698242,-120.205703735
B081,33.711166382,-116.714164734
B082,33.598182678,-116.596008301
B084,33.611568451,-116.456367493
B086,33.557498932,-116.53099823
B087,33.495498657,-116.602668762
B088,33.374950409,-116.620521545
B946,33.53730011,-116.592498779
